#SampleID	DateOfCollection	TimeOfCollection	Notes	City	Office	OfficeLocation	Row	Surface	TimePoint	TimePointCategory	Cooler
F1W.3.Ca.004	7/3/2013	17:30:00	no_data	flagstaff	1	wall	3	carpet	004	1	no_data
F1W.3.Ce.004	7/3/2013	17:30:00	no_data	flagstaff	1	wall	3	ceiling	004	1	no_data
F1W.3.Dr.004	7/3/2013	17:30:00	no_data	flagstaff	1	wall	3	drywall	004	1	no_data
F2C.3.Ca.004	7/3/2013	15:30:00	no_data	flagstaff	2	ceiling	3	carpet	004	1	no_data
F2C.3.Ce.004	7/3/2013	15:30:00	no_data	flagstaff	2	ceiling	3	ceiling	004	1	no_data
F2C.3.Dr.004	7/3/2013	15:30:00	no_data	flagstaff	2	ceiling	3	drywall	004	1	no_data
F2F.3.Ca.004	7/3/2013	15:30:00	no_data	flagstaff	2	floor	3	carpet	004	1	no_data
F2F.3.Ce.004	7/3/2013	15:30:00	no_data	flagstaff	2	floor	3	ceiling	004	1	no_data
F2F.3.Dr.004	7/3/2013	15:30:00	no_data	flagstaff	2	floor	3	drywall	004	1	no_data
F2W.3.Ca.004	7/3/2013	15:30:00	no_data	flagstaff	2	wall	3	carpet	004	1	no_data
F2W.3.Ce.004	7/3/2013	15:30:00	no_data	flagstaff	2	wall	3	ceiling	004	1	no_data
F2W.3.Dr.004	7/3/2013	15:30:00	no_data	flagstaff	2	wall	3	drywall	004	1	no_data
F3C.3.Ca.004	7/3/2013	15:15:00	no_data	flagstaff	3	ceiling	3	carpet	004	1	no_data
F3C.3.Ce.004	7/3/2013	15:15:00	no_data	flagstaff	3	ceiling	3	ceiling	004	1	no_data
F3C.3.Dr.004	7/3/2013	15:15:00	no_data	flagstaff	3	ceiling	3	drywall	004	1	no_data
F3F.3.Ca.004	7/3/2013	15:15:00	no_data	flagstaff	3	floor	3	carpet	004	1	no_data
F3F.3.Ce.004	7/3/2013	15:15:00	no_data	flagstaff	3	floor	3	ceiling	004	1	no_data
F3F.3.Dr.004	7/3/2013	15:15:00	no_data	flagstaff	3	floor	3	drywall	004	1	no_data
F3W.3.Ca.004	7/3/2013	15:15:00	no_data	flagstaff	3	wall	3	carpet	004	1	no_data
F3W.3.Ce.004	7/3/2013	15:15:00	no_data	flagstaff	3	wall	3	ceiling	004	1	no_data
F3W.3.Dr.004	7/3/2013	15:15:00	no_data	flagstaff	3	wall	3	drywall	004	1	no_data
F1C.3.Ca.005	7/5/2013	18:50:00	no_data	flagstaff	1	ceiling	3	carpet	005	3	no_data
F1C.3.Ce.005	7/5/2013	18:50:00	no_data	flagstaff	1	ceiling	3	ceiling	005	3	no_data
F1C.3.Dr.005	7/5/2013	18:50:00	no_data	flagstaff	1	ceiling	3	drywall	005	3	no_data
F1F.3.Ca.005	7/5/2013	18:50:00	no_data	flagstaff	1	floor	3	carpet	005	3	no_data
F1F.3.Ce.005	7/5/2013	18:50:00	no_data	flagstaff	1	floor	3	ceiling	005	3	no_data
F1F.3.Dr.005	7/5/2013	18:50:00	no_data	flagstaff	1	floor	3	drywall	005	3	no_data
F1W.3.Ca.005	7/5/2013	18:50:00	no_data	flagstaff	1	wall	3	carpet	005	3	no_data
F1W.3.Ce.005	7/5/2013	18:50:00	no_data	flagstaff	1	wall	3	ceiling	005	3	no_data
F1W.3.Dr.005	7/5/2013	18:50:00	no_data	flagstaff	1	wall	3	drywall	005	3	no_data
F2C.3.Ca.005	7/5/2013	19:50:00	no_data	flagstaff	2	ceiling	3	carpet	005	3	no_data
F2C.3.Ce.005	7/5/2013	19:50:00	no_data	flagstaff	2	ceiling	3	ceiling	005	3	no_data
F2C.3.Dr.005	7/5/2013	19:50:00	no_data	flagstaff	2	ceiling	3	drywall	005	3	no_data
F2F.3.Ca.005	7/5/2013	19:50:00	no_data	flagstaff	2	floor	3	carpet	005	3	no_data
F2F.3.Ce.005	7/5/2013	19:50:00	no_data	flagstaff	2	floor	3	ceiling	005	3	no_data
F2F.3.Dr.005	7/5/2013	19:50:00	no_data	flagstaff	2	floor	3	drywall	005	3	no_data
F2W.3.Ca.005	7/5/2013	19:50:00	no_data	flagstaff	2	wall	3	carpet	005	3	no_data
F2W.3.Ce.005	7/5/2013	19:50:00	no_data	flagstaff	2	wall	3	ceiling	005	3	no_data
F2W.3.Dr.005	7/5/2013	19:50:00	no_data	flagstaff	2	wall	3	drywall	005	3	no_data
F3C.3.Ca.005	7/5/2013	20:00:00	no_data	flagstaff	3	ceiling	3	carpet	005	3	no_data
F3C.3.Ce.005	7/5/2013	20:00:00	no_data	flagstaff	3	ceiling	3	ceiling	005	3	no_data
F3C.3.Dr.005	7/5/2013	20:00:00	no_data	flagstaff	3	ceiling	3	drywall	005	3	no_data
F3F.3.Ca.005	7/5/2013	20:00:00	no_data	flagstaff	3	floor	3	carpet	005	3	no_data
F3F.3.Ce.005	7/5/2013	20:00:00	no_data	flagstaff	3	floor	3	ceiling	005	3	no_data
F3F.3.Dr.005	7/5/2013	20:00:00	no_data	flagstaff	3	floor	3	drywall	005	3	no_data
F3W.3.Ca.005	7/5/2013	20:00:00	no_data	flagstaff	3	wall	3	carpet	005	3	no_data
F3W.3.Ce.005	7/5/2013	20:00:00	no_data	flagstaff	3	wall	3	ceiling	005	3	no_data
F3W.3.Dr.005	7/5/2013	20:00:00	no_data	flagstaff	3	wall	3	drywall	005	3	no_data
F1C.3.Ca.006	7/7/2013	19:50:00	no_data	flagstaff	1	ceiling	3	carpet	006	3	no_data
F1C.3.Ce.006	7/7/2013	19:50:00	no_data	flagstaff	1	ceiling	3	ceiling	006	3	no_data
F1C.3.Dr.006	7/7/2013	19:50:00	no_data	flagstaff	1	ceiling	3	drywall	006	3	no_data
F1F.3.Ca.006	7/7/2013	19:50:00	no_data	flagstaff	1	floor	3	carpet	006	3	no_data
F1F.3.Ce.006	7/7/2013	19:50:00	no_data	flagstaff	1	floor	3	ceiling	006	3	no_data
F1F.3.Dr.006	7/7/2013	19:50:00	no_data	flagstaff	1	floor	3	drywall	006	3	no_data
F1W.3.Ca.006	7/7/2013	19:50:00	no_data	flagstaff	1	wall	3	carpet	006	3	no_data
F1W.3.Ce.006	7/7/2013	19:50:00	no_data	flagstaff	1	wall	3	ceiling	006	3	no_data
F1W.3.Dr.006	7/7/2013	19:50:00	no_data	flagstaff	1	wall	3	drywall	006	3	no_data
F2C.3.Ca.006	7/7/2013	20:10:00	no_data	flagstaff	2	ceiling	3	carpet	006	3	no_data
F2C.3.Ce.006	7/7/2013	20:10:00	no_data	flagstaff	2	ceiling	3	ceiling	006	3	no_data
F2C.3.Dr.006	7/7/2013	20:10:00	no_data	flagstaff	2	ceiling	3	drywall	006	3	no_data
F2F.3.Ca.006	7/7/2013	20:10:00	no_data	flagstaff	2	floor	3	carpet	006	3	no_data
F2F.3.Ce.006	7/7/2013	20:10:00	no_data	flagstaff	2	floor	3	ceiling	006	3	no_data
F2F.3.Dr.006	7/7/2013	20:10:00	no_data	flagstaff	2	floor	3	drywall	006	3	no_data
F2W.3.Ca.006	7/7/2013	20:10:00	no_data	flagstaff	2	wall	3	carpet	006	3	no_data
F2W.3.Ce.006	7/7/2013	20:10:00	no_data	flagstaff	2	wall	3	ceiling	006	3	no_data
F2W.3.Dr.006	7/7/2013	20:10:00	no_data	flagstaff	2	wall	3	drywall	006	3	no_data
F3C.3.Ca.006	7/7/2013	20:20:00	no_data	flagstaff	3	ceiling	3	carpet	006	3	no_data
F3C.3.Ce.006	7/7/2013	20:20:00	no_data	flagstaff	3	ceiling	3	ceiling	006	3	no_data
F3C.3.Dr.006	7/7/2013	20:20:00	no_data	flagstaff	3	ceiling	3	drywall	006	3	no_data
F3F.3.Ca.006	7/7/2013	20:20:00	no_data	flagstaff	3	floor	3	carpet	006	3	no_data
F3F.3.Ce.006	7/7/2013	20:20:00	no_data	flagstaff	3	floor	3	ceiling	006	3	no_data
F3F.3.Dr.006	7/7/2013	20:20:00	no_data	flagstaff	3	floor	3	drywall	006	3	no_data
F3W.3.Ca.006	7/7/2013	20:20:00	no_data	flagstaff	3	wall	3	carpet	006	3	no_data
F3W.3.Ce.006	7/7/2013	20:20:00	no_data	flagstaff	3	wall	3	ceiling	006	3	no_data
F3W.3.Dr.006	7/7/2013	20:20:00	no_data	flagstaff	3	wall	3	drywall	006	3	no_data
F1C.3.Ca.007	7/9/2013	14:10:00	no_data	flagstaff	1	ceiling	3	carpet	007	2	no_data
F1C.3.Ce.007	7/9/2013	14:10:00	no_data	flagstaff	1	ceiling	3	ceiling	007	2	no_data
