#SampleID	DateOfCollection	TimeOfCollection	Notes	City	Office	OfficeLocation	Row	Surface	TimePoint	TimePointCategory	Cooler
T3C.3.Ca.002	7/5/2013	10:49:00	DM	toronto	3	ceiling	3	carpet	002	1	1
T3C.3.Ce.002	7/5/2013	10:50:00	DM	toronto	3	ceiling	3	ceiling	002	1	1
T3C.3.Dr.002	7/5/2013	10:51:00	DM	toronto	3	ceiling	3	drywall	002	1	1
T3F.3.Ca.002	7/5/2013	10:49:00	JS	toronto	3	floor	3	carpet	002	1	1
T3F.3.Ce.002	7/5/2013	10:50:00	JS	toronto	3	floor	3	ceiling	002	1	1
T3F.3.Dr.002	7/5/2013	10:51:00	JS	toronto	3	floor	3	drywall	002	1	1
T3W.3.Ca.002	7/5/2013	10:48:00	JS	toronto	3	wall	3	carpet	002	1	1
T3W.3.Ce.002	7/5/2013	10:47:00	JS	toronto	3	wall	3	ceiling	002	1	1
T3W.3.Dr.002	7/5/2013	10:46:00	JS	toronto	3	wall	3	drywall	002	1	1
T1C.3.Ca.003	7/7/2013	10:37:00	JS	toronto	1	ceiling	3	carpet	003	1	1
T1C.3.Ce.003	7/7/2013	10:37:00	JS	toronto	1	ceiling	3	ceiling	003	1	1
T1C.3.Dr.003	7/7/2013	10:38:00	JS	toronto	1	ceiling	3	drywall	003	1	1
T1F.3.Ca.003	7/7/2013	10:39:00	JS	toronto	1	floor	3	carpet	003	1	1
T1F.3.Ce.003	7/7/2013	10:39:00	JS	toronto	1	floor	3	ceiling	003	1	1
T1F.3.Dr.003	7/7/2013	10:39:00	JS	toronto	1	floor	3	drywall	003	1	1
T1W.3.Ca.003	7/7/2013	10:41:00	JS	toronto	1	wall	3	carpet	003	1	1
T1W.3.Ce.003	7/7/2013	10:41:00	JS	toronto	1	wall	3	ceiling	003	1	1
T1W.3.Dr.003	7/7/2013	10:41:00	JS	toronto	1	wall	3	drywall	003	1	1
T2C.3.Ca.003	7/7/2013	10:06:00	JS	toronto	2	ceiling	3	carpet	003	1	1
T2C.3.Ce.003	7/7/2013	10:06:00	JS	toronto	2	ceiling	3	ceiling	003	1	1
T2C.3.Dr.003	7/7/2013	10:07:00	JS	toronto	2	ceiling	3	drywall	003	1	1
T2F.3.Ca.003	7/7/2013	10:10:00	JS	toronto	2	floor	3	carpet	003	1	1
T2F.3.Ce.003	7/7/2013	10:09:00	JS	toronto	2	floor	3	ceiling	003	1	1
T2F.3.Dr.003	7/7/2013	10:08:00	JS	toronto	2	floor	3	drywall	003	1	1
T2W.3.Ca.003	7/7/2013	10:05:00	JS	toronto	2	wall	3	carpet	003	1	1
T2W.3.Ce.003	7/7/2013	10:04:00	JS	toronto	2	wall	3	ceiling	003	1	1
T2W.3.Dr.003	7/7/2013	10:03:00	JS	toronto	2	wall	3	drywall	003	1	1
T3C.3.Ca.003	7/7/2013	10:16:00	JS	toronto	3	ceiling	3	carpet	003	1	1
T3C.3.Ce.003	7/7/2013	10:16:00	JS	toronto	3	ceiling	3	ceiling	003	1	1
T3C.3.Dr.003	7/7/2013	10:15:00	JS	toronto	3	ceiling	3	drywall	003	1	1
T3F.3.Ca.003	7/7/2013	10:19:00	JS	toronto	3	floor	3	carpet	003	1	1
