#SampleID	DateOfCollection	TimeOfCollection	Notes	City	Office	OfficeLocation	Row	Surface	TimePoint	TimePointCategory	Cooler
S2C.3.Ca.005	6/4/2013	15:10:00	Training Pascal (PR)	san_diego	2	ceiling	3	carpet	005	3	no_data
S2C.3.Ce.005	6/4/2013	15:10:00	Training Pascal (PR)	san_diego	2	ceiling	3	ceiling	005	3	no_data
S2C.3.Dr.005	6/4/2013	15:10:00	Training Pascal (PR)	san_diego	2	ceiling	3	drywall	005	3	no_data
S2F.3.Ca.005	6/4/2013	15:05:00	Training Pascal (PR)	san_diego	2	floor	3	carpet	005	3	no_data
S2F.3.Ce.005	6/4/2013	15:05:00	Training Pascal (PR)	san_diego	2	floor	3	ceiling	005	3	no_data
S2F.3.Dr.005	6/4/2013	15:05:00	Training Pascal (PR)	san_diego	2	floor	3	drywall	005	3	no_data
S2W.3.Ca.005	6/4/2013	15:05:00	Training Pascal (PR)	san_diego	2	wall	3	carpet	005	3	no_data
S2W.3.Ce.005	6/4/2013	15:05:00	Training Pascal (PR)	san_diego	2	wall	3	ceiling	005	3	no_data
S2W.3.Dr.005	6/4/2013	15:05:00	Training Pascal (PR)	san_diego	2	wall	3	drywall	005	3	no_data
S3C.3.Ca.005	6/4/2013	15:15:00	Training Pascal (PR)	san_diego	3	ceiling	3	carpet	005	3	no_data
S3C.3.Ce.005	6/4/2013	15:15:00	Training Pascal (PR)	san_diego	3	ceiling	3	ceiling	005	3	no_data
S3C.3.Dr.005	6/4/2013	15:15:00	Training Pascal (PR)	san_diego	3	ceiling	3	drywall	005	3	no_data
S3F.3.Ca.005	6/4/2013	15:20:00	Training Pascal (PR)	san_diego	3	floor	3	carpet	005	3	no_data
S3F.3.Ce.005	6/4/2013	15:20:00	Training Pascal (PR)	san_diego	3	floor	3	ceiling	005	3	no_data
S3F.3.Dr.005	6/4/2013	15:20:00	Training Pascal (PR)	san_diego	3	floor	3	drywall	005	3	no_data
S3W.3.Ca.005	6/4/2013	15:20:00	Training Pascal (PR)	san_diego	3	wall	3	carpet	005	3	no_data
S3W.3.Ce.005	6/4/2013	15:20:00	Training Pascal (PR)	san_diego	3	wall	3	ceiling	005	3	no_data
S3W.3.Dr.005	6/4/2013	15:20:00	Training Pascal (PR)	san_diego	3	wall	3	drywall	005	3	no_data
S1C.3.Ca.006	6/6/2013	16:40:00	PR & JF	san_diego	1	ceiling	3	carpet	006	3	no_data
S1C.3.Ce.006	6/6/2013	16:40:00	PR & JF	san_diego	1	ceiling	3	ceiling	006	3	no_data
S1C.3.Dr.006	6/6/2013	16:40:00	PR & JF	san_diego	1	ceiling	3	drywall	006	3	no_data
S1F.3.Ca.006	6/6/2013	16:40:00	PR & JF	san_diego	1	floor	3	carpet	006	3	no_data
S1F.3.Ce.006	6/6/2013	16:40:00	PR & JF	san_diego	1	floor	3	ceiling	006	3	no_data
S1F.3.Dr.006	6/6/2013	16:40:00	PR & JF	san_diego	1	floor	3	drywall	006	3	no_data
S1W.3.Ca.006	6/6/2013	16:40:00	PR & JF	san_diego	1	wall	3	carpet	006	3	no_data
S1W.3.Ce.006	6/6/2013	16:40:00	PR & JF	san_diego	1	wall	3	ceiling	006	3	no_data
S1W.3.Dr.006	6/6/2013	16:40:00	PR & JF	san_diego	1	wall	3	drywall	006	3	no_data
S2C.3.Ca.006	6/6/2013	16:45:00	PR & JF	san_diego	2	ceiling	3	carpet	006	3	no_data
S2C.3.Ce.006	6/6/2013	16:45:00	PR & JF	san_diego	2	ceiling	3	ceiling	006	3	no_data
S2C.3.Dr.006	6/6/2013	16:45:00	PR & JF	san_diego	2	ceiling	3	drywall	006	3	no_data
